Respondent_ID,Satisfaction_Index,Perceived_Control_Importance_Index
793,2.5714285714285716,3.5
794,2.5714285714285716,3.5
796,3.0,4.5
797,2.7142857142857144,4.0
799,2.142857142857143,2.5
801,2.857142857142857,3.25
803,2.4285714285714284,3.25
804,2.2857142857142856,2.75
805,2.7142857142857144,4.0
806,2.5714285714285716,3.75
807,2.4285714285714284,2.75
808,1.4285714285714286,3.5
809,3.2857142857142856,3.25
810,,
811,2.0,3.0
812,2.7142857142857144,3.75
813,3.5714285714285716,4.0
814,2.5714285714285716,3.75
815,2.4285714285714284,3.25
817,2.857142857142857,3.0
818,2.857142857142857,3.25
819,1.1428571428571428,1.75
820,2.4285714285714284,3.75
821,2.2857142857142856,3.5
822,2.7142857142857144,4.0
823,3.142857142857143,5.0
824,3.142857142857143,3.5
825,2.857142857142857,3.0
826,3.142857142857143,4.0
829,3.142857142857143,3.75
830,,
833,,
834,2.4285714285714284,3.25
836,3.4285714285714284,3.5
838,3.857142857142857,4.25
839,4.285714285714286,4.5
840,3.7142857142857144,3.75
844,4.142857142857143,3.5
845,3.2857142857142856,3.0
846,3.7142857142857144,3.75
847,3.857142857142857,3.75
848,5.0,4.75
852,3.5714285714285716,3.5
853,,
854,,
855,3.5714285714285716,4.0
856,2.142857142857143,3.25
857,2.5714285714285716,3.0
858,1.4285714285714286,3.5
859,2.142857142857143,2.5
860,2.7142857142857144,3.5
861,3.2857142857142856,3.25
862,3.857142857142857,4.0
863,2.857142857142857,3.25
866,3.857142857142857,3.25
867,2.5714285714285716,3.75
868,3.4285714285714284,4.0
869,3.2857142857142856,4.0
870,4.0,3.25
871,3.0,3.5
872,2.7142857142857144,3.75
873,3.2857142857142856,3.75
879,3.857142857142857,3.75
880,3.2857142857142856,3.75
881,3.0,3.25
882,,
883,3.7142857142857144,4.25
885,3.7142857142857144,3.25
886,3.142857142857143,2.3333333333333335
887,,
888,,
889,3.5714285714285716,3.5
890,4.0,4.25
891,3.7142857142857144,3.75
892,3.7142857142857144,3.5
893,3.7142857142857144,3.5
894,4.428571428571429,4.75
895,3.7142857142857144,3.75
896,4.571428571428571,4.25
897,3.4285714285714284,4.0
898,2.2857142857142856,2.25
899,3.857142857142857,4.0
900,,
901,,
902,4.0,4.0
903,,
904,3.4285714285714284,3.25
905,4.0,4.0
906,3.7142857142857144,3.0
907,3.0,3.75
908,3.0,3.0
909,3.5714285714285716,4.25
911,4.0,4.0
912,4.285714285714286,5.0
913,3.857142857142857,3.75
917,2.857142857142857,4.0
918,3.5714285714285716,2.75
920,3.0,4.75
921,2.857142857142857,4.0
924,4.428571428571429,4.0
925,,
926,3.4285714285714284,4.0
927,3.5714285714285716,3.0
928,2.7142857142857144,3.5
929,3.0,3.0
930,2.857142857142857,3.0
937,3.7142857142857144,4.25
940,2.857142857142857,2.75
943,4.0,4.0
946,,
947,3.2857142857142856,4.0
949,3.857142857142857,4.0
952,3.5714285714285716,4.0
953,4.0,4.0
954,4.714285714285714,5.0
957,3.4285714285714284,3.75
962,3.4285714285714284,4.25
964,,
965,4.142857142857143,4.75
966,2.5714285714285716,4.0
967,4.0,4.0
969,3.857142857142857,3.75
971,3.7142857142857144,4.0
972,4.0,4.25
973,4.833333333333333,4.666666666666667
975,,
980,3.7142857142857144,4.0
982,3.0,4.0
983,3.0,3.5
984,4.428571428571429,4.75
985,4.0,4.0
986,3.857142857142857,4.0
990,3.857142857142857,4.0
992,3.7142857142857144,3.75
993,4.0,4.0
994,3.857142857142857,3.75
995,3.4285714285714284,3.75
996,3.857142857142857,3.75
998,4.142857142857143,3.75
999,2.5714285714285716,4.0
1000,3.5714285714285716,3.75
1002,4.285714285714286,4.25
1003,4.0,4.0
1005,3.2857142857142856,4.0
1006,3.2857142857142856,4.0
1007,4.714285714285714,4.5
1008,3.0,3.25
1009,3.2857142857142856,3.25
1010,3.7142857142857144,3.75
1011,4.0,4.0
1012,3.142857142857143,3.0
1015,4.0,4.0
1016,4.428571428571429,4.25
1017,2.5714285714285716,3.0
1018,3.7142857142857144,4.0
1019,4.0,4.0
1020,,
1021,3.0,3.0
1022,1.0,1.0
1023,4.0,4.0
1024,3.142857142857143,3.5
1025,3.857142857142857,4.0
1026,2.4285714285714284,2.5
1028,3.0,3.0
1029,3.2857142857142856,3.25
1030,3.5714285714285716,3.0
1031,3.0,3.25
1032,4.285714285714286,4.0
1033,4.142857142857143,4.25
1034,3.142857142857143,3.25
1035,3.857142857142857,4.25
1036,3.142857142857143,3.25
1037,3.0,3.0
1039,3.857142857142857,4.5
1041,3.4285714285714284,3.75
1042,3.7142857142857144,3.0
1043,,
1044,5.0,4.0
1045,3.2857142857142856,3.75
1047,,
1048,4.0,4.0
1049,,
1050,3.857142857142857,4.0
1051,3.4285714285714284,3.25
1053,4.0,4.0
1054,4.0,4.0
1056,4.714285714285714,5.0
1057,4.0,4.0
1058,3.7142857142857144,4.25
1060,3.5714285714285716,3.75
1062,4.0,4.0
1065,2.7142857142857144,3.25
1066,3.857142857142857,4.25
1067,4.0,4.0
1070,4.714285714285714,5.0
1071,3.7142857142857144,4.0
1072,3.7142857142857144,3.25
1073,2.7142857142857144,3.75
1075,3.857142857142857,3.5
1076,4.285714285714286,4.25
1077,2.857142857142857,4.0
1081,4.285714285714286,4.0
1082,3.7142857142857144,3.75
1084,4.0,3.75
1085,3.0,3.25
1087,3.5714285714285716,4.0
1088,3.0,4.25
1091,,
1094,2.857142857142857,3.75
1098,3.2857142857142856,3.6666666666666665
1099,3.0,2.25
1101,,
1102,2.7142857142857144,3.25
1109,3.5714285714285716,3.5
1112,,
1113,2.4285714285714284,3.5
1114,3.2857142857142856,3.25
1115,3.857142857142857,3.75
1118,2.4285714285714284,3.5
1120,5.0,5.0
1122,4.0,4.0
1124,5.0,4.25
1127,3.142857142857143,3.75
1129,3.0,3.0
1134,2.7142857142857144,4.0
1135,3.4285714285714284,4.0
1140,3.4285714285714284,3.75
1143,2.7142857142857144,3.5
1144,4.285714285714286,4.0
1145,3.4285714285714284,3.75
1146,2.0,2.5
1148,3.6666666666666665,3.5
1150,4.0,4.25
1154,3.4285714285714284,3.25
1156,2.857142857142857,3.75
1161,3.5714285714285716,4.0
1162,4.428571428571429,4.5
1164,,
1165,,
1170,1.8571428571428572,3.0
1172,2.7142857142857144,4.0
1174,,
1175,3.0,3.5
1176,,
1177,,
1178,2.4285714285714284,2.75
1179,2.857142857142857,3.5
1180,,
1181,,
1182,2.2857142857142856,2.75
1183,2.4285714285714284,2.75
1184,,
1186,3.7142857142857144,3.0
1191,2.7142857142857144,3.25
1192,3.0,3.0
1193,2.857142857142857,4.25
1194,4.714285714285714,4.5
1195,3.7142857142857144,3.25
1196,4.0,4.75
1197,4.571428571428571,4.75
1198,2.7142857142857144,4.0
1200,4.428571428571429,3.75
1201,,
1202,3.7142857142857144,4.0
1204,3.2857142857142856,4.5
1207,3.857142857142857,3.5
1209,3.4285714285714284,2.5
1210,3.0,3.75
1211,3.4285714285714284,4.0
1212,1.8571428571428572,2.5
1213,,
1214,3.4285714285714284,2.5
1215,2.7142857142857144,4.0
1216,3.4285714285714284,4.0
1217,3.857142857142857,5.0
1219,2.142857142857143,3.25
1221,,
1222,2.857142857142857,5.0
1223,2.4285714285714284,2.5
1224,3.7142857142857144,4.5
1227,2.7142857142857144,2.75
1228,3.7142857142857144,3.25
1231,,
1232,3.2857142857142856,3.25
1233,,
1237,3.0,3.0
1238,3.5714285714285716,3.75
1239,3.0,3.0
1240,,
1241,,
1242,2.4285714285714284,3.25
1243,3.7142857142857144,3.75
1244,1.0,1.0
1245,,
1246,2.4285714285714284,3.25
1247,,
1248,3.0,3.0
1249,2.5714285714285716,3.0
1250,2.4285714285714284,4.0
1251,,
1252,,
